seed,cw_alpha,ec1,ec2,ec3,ec4,ec5,ec6,bm,cw_stress_volume,cw_ec_volume,cw_ec_volume_red,cw_fullcov,cw_redcov,cw_cwfullcov,cw_cwredcov,cw_Mvol,cw_Mcov
255.0,0.65,0.4256357611305096,-0.1416968899563299,-0.14248159782075853,-0.00195692076394099,-0.0020464514841050502,0.051578461612590776,0.04689118849633089,1.8865650615272298e6,0.2141960956103276,0.9320232265540398,1.0,1.0,6.0,3.0,0.4047426943854735,1.0
255.0,0.7,0.4256357611305096,-0.1416968899563299,-0.14248159782075853,-0.00195692076394099,-0.0020464514841050502,0.051578461612590776,0.04689118849633089,2.077801821656494e6,0.21592648322008356,0.9395525955588226,1.0,1.0,6.0,3.0,0.4080124166533247,1.0
255.0,0.75,0.4256357611305096,-0.1416968899563299,-0.14248159782075853,-0.00195692076394099,-0.0020464514841050502,0.051578461612590776,0.04689118849633089,2.6587044665120863e6,0.2204083652058857,0.9590544361387792,1.0,1.0,6.0,3.0,0.4164813338186094,1.0
255.0,0.8,0.4256357611305096,-0.1416968899563299,-0.14248159782075853,-0.00195692076394099,-0.0020464514841050502,0.051578461612590776,0.04689118849633089,3.5180407264499846e6,0.22561292349815582,0.9817008303157059,1.0,1.0,6.0,3.0,0.42631581254847334,1.0
255.0,0.85,0.4256357611305096,-0.1416968899563299,-0.14248159782075853,-0.00195692076394099,-0.0020464514841050502,0.051578461612590776,0.04689118849633089,5.527285446325753e6,0.23426903704053056,1.0193658440041873,1.0,1.0,6.0,3.0,0.4426723138566066,1.0
255.0,0.9,0.4256357611305096,-0.1416968899563299,-0.14248159782075853,-0.00195692076394099,-0.0020464514841050502,0.051578461612590776,0.04689118849633089,5.971194553417989e6,0.23578201220999107,1.0259491946255828,1.0,1.0,6.0,3.0,0.44553121585890926,1.0
255.0,0.95,0.4256357611305096,-0.1416968899563299,-0.14248159782075853,-0.00195692076394099,-0.0020464514841050502,0.051578461612590776,0.04689118849633089,7.118476766750306e7,0.28987081434247924,1.2613037175001538,1.0,1.0,6.0,3.0,0.5477368487338087,1.0
6.0,0.4,0.25120507118468005,0.04067032643102719,0.04142155962312011,-0.0037149380191765567,0.0004829362313410551,0.002378784923004973,0.11134973014364019,169520.4187058241,0.18769257904582634,0.7645714981534927,1.0,1.0,6.0,3.0,0.3174737998743099,1.0
6.0,0.45,0.25120507118468005,0.04067032643102719,0.04142155962312011,-0.0037149380191765567,0.0004829362313410551,0.002378784923004973,0.11134973014364019,197238.51300338237,0.19007627419980053,0.774281553736299,1.0,1.0,6.0,3.0,0.3215057161179958,1.0
6.0,0.5,0.25120507118468005,0.04067032643102719,0.04142155962312011,-0.0037149380191765567,0.0004829362313410551,0.002378784923004973,0.11134973014364019,355736.32222695416,0.19965151869724976,0.8132866069345575,1.0,1.0,6.0,3.0,0.33770182398110205,1.0
6.0,0.55,0.25120507118468005,0.04067032643102719,0.04142155962312011,-0.0037149380191765567,0.0004829362313410551,0.002378784923004973,0.11134973014364019,469649.3922778048,0.20432730848446623,0.8323335805593912,1.0,1.0,6.0,3.0,0.3456107181883613,1.0
6.0,0.6,0.25120507118468005,0.04067032643102719,0.04142155962312011,-0.0037149380191765567,0.0004829362313410551,0.002378784923004973,0.11134973014364019,557516.4090886073,0.20726854802759642,0.844314810373332,1.0,1.0,6.0,3.0,0.3505856964152315,1.0
6.0,0.65,0.25120507118468005,0.04067032643102719,0.04142155962312011,-0.0037149380191765567,0.0004829362313410551,0.002378784923004973,0.11134973014364019,660551.2181651478,0.2102184398855494,0.8563312856580328,1.0,1.0,6.0,3.0,0.35557530965472983,1.0
