seed,cw_alpha,ec1,ec2,ec3,ec4,ec5,ec6,bm,cw_stress_volume,cw_ec_volume,cw_ec_volume_red,cw_fullcov,cw_redcov,cw_cwfullcov,cw_cwredcov,cw_Mvol,cw_Mcov,mv_stress_volume,mv_ec_volume,mv_ec_volume_red,mv_fullcov,mv_redcov,mv_cwfullcov,mv_cwredcov,cw_fullcov_upper,cw_redcov_upper,mv_Mvol,mv_Mcov
253.0,0.65,0.13377718859735543,-0.021586552304896423,-0.019518599664720915,-0.0017276510682863193,-0.0012919716759975412,0.10635136633691589,0.03158032975597125,8.25094231031414,0.07723553452813586,0.34194759030233046,0.0,0.0,5.0,2.0,0.150170585368966,1.0,0.13895568180203632,0.1115707502851786,0.6080329009746187,1.0,1.0,4.0,2.0,6.0,3.0,0.5051026080449649,1.0
253.0,0.7,0.13377718859735543,-0.021586552304896423,-0.019518599664720915,-0.0017276510682863193,-0.0012919716759975412,0.10635136633691589,0.03158032975597125,16.21266241690091,0.0817077131659667,0.36174742360381074,0.0,0.0,5.0,2.0,0.15886593120972003,1.0,0.17659458485604185,0.11382179833647608,0.6203005542203411,1.0,1.0,4.0,2.0,6.0,3.0,0.5152935428431865,1.0
253.0,0.75,0.13377718859735543,-0.021586552304896423,-0.019518599664720915,-0.0017276510682863193,-0.0012919716759975412,0.10635136633691589,0.03158032975597125,44.62438185546237,0.08890091108047371,0.39359412096223184,1.0,1.0,6.0,3.0,0.17285180892903382,1.0,0.2230966588053421,0.11606067266762367,0.6325018637123517,1.0,1.0,4.0,2.0,6.0,3.0,0.5254293648292987,1.0
253.0,0.8,0.13377718859735543,-0.021586552304896423,-0.019518599664720915,-0.0017276510682863193,-0.0012919716759975412,0.10635136633691589,0.03158032975597125,102.15849458198952,0.09525360059522929,0.4217196060097682,1.0,1.0,6.0,3.0,0.18520346945584248,1.0,0.2796850365441862,0.1182677761069205,0.6445300297282343,1.0,1.0,4.0,2.0,6.0,3.0,0.5354213537741102,1.0
253.0,0.85,0.13377718859735543,-0.021586552304896423,-0.019518599664720915,-0.0017276510682863193,-0.0012919716759975412,0.10635136633691589,0.03158032975597125,280.3661037408809,0.10361413033427926,0.45873447248780946,1.0,1.0,6.0,3.0,0.20145901365034033,1.0,0.41897114134551683,0.1223186474867291,0.6666062734591799,1.0,1.0,4.0,2.0,6.0,3.0,0.5537604407979597,1.0
253.0,0.9,0.13377718859735543,-0.021586552304896423,-0.019518599664720915,-0.0017276510682863193,-0.0012919716759975412,0.10635136633691589,0.03158032975597125,1206.3584852537183,0.11701231167117115,0.5180527105316579,1.0,1.0,6.0,3.0,0.2275093640043948,1.0,0.5544038455472053,0.12520726066750557,0.6823484984385019,1.0,1.0,4.0,2.0,6.0,3.0,0.5668377576351585,1.0
253.0,0.95,0.13377718859735543,-0.021586552304896423,-0.019518599664720915,-0.0017276510682863193,-0.0012919716759975412,0.10635136633691589,0.03158032975597125,5475.258313861143,0.13273198168035638,0.587648956778009,1.0,1.0,6.0,3.0,0.2580734309394967,1.0,0.8373047652430848,0.12958387361775076,0.7061999528903069,1.0,1.0,4.0,2.0,6.0,3.0,0.5866515404583602,1.0
4.0,0.4,0.3957593957378476,-0.16034354520659932,-0.15601464650912977,-0.004338704635448371,-0.003174564062362772,0.06791182707231463,0.027910367573196093,7.703275788774929,0.08002891044246223,0.32048278235888794,0.0,0.0,1.0,1.0,0.12198160027825775,1.0,11.998578605371037,0.13707675161167998,0.7698875405943343,1.0,1.0,4.0,2.0,6.0,3.0,0.5630669685062127,1.0
4.0,0.45,0.3957593957378476,-0.16034354520659932,-0.15601464650912977,-0.004338704635448371,-0.003174564062362772,0.06791182707231463,0.027910367573196093,27.61442785514225,0.08901269587502625,0.3564591380986472,0.0,0.0,3.0,2.0,0.13567485834664714,1.0,13.978224902175809,0.1388323439475997,0.7797477732734435,1.0,1.0,4.0,2.0,6.0,3.0,0.5702783741085242,1.0
4.0,0.5,0.3957593957378476,-0.16034354520659932,-0.15601464650912977,-0.004338704635448371,-0.003174564062362772,0.06791182707231463,0.027910367573196093,107.93465734025693,0.09972116880083677,0.39934215598686373,0.0,0.0,4.0,2.0,0.15199691817233854,1.0,17.216723599796403,0.14126422667026234,0.7934063710031911,1.0,1.0,4.0,2.0,6.0,3.0,0.5802677619245656,1.0
4.0,0.55,0.3957593957378476,-0.16034354520659932,-0.15601464650912977,-0.004338704635448371,-0.003174564062362772,0.06791182707231463,0.027910367573196093,355.25460645065357,0.11012914312880338,0.4410218009164891,0.0,0.0,4.0,2.0,0.16786095227153036,1.0,20.52148102103315,0.14334648423427512,0.8051013093205445,1.0,1.0,4.0,2.0,6.0,3.0,0.5888210026487055,1.0
4.0,0.6,0.3957593957378476,-0.16034354520659932,-0.15601464650912977,-0.004338704635448371,-0.003174564062362772,0.06791182707231463,0.027910367573196093,2148.5037635260237,0.12794852791394634,0.5123810882576819,0.0,1.0,5.0,3.0,0.19502160034293625,1.0,23.813199798892445,0.14513465794619215,0.8151445343389138,1.0,1.0,4.0,2.0,6.0,3.0,0.5961662420076297,1.0
4.0,0.65,0.3957593957378476,-0.16034354520659932,-0.15601464650912977,-0.004338704635448371,-0.003174564062362772,0.06791182707231463,0.027910367573196093,6043.146690726919,0.13946413740497238,0.5584963552260583,0.0,1.0,5.0,3.0,0.2125739132024843,1.0,29.35330764374355,0.14768659394347264,0.8294774077518051,1.0,1.0,4.0,2.0,6.0,3.0,0.6066487698536441,1.0
4.0,0.7,0.3957593957378476,-0.16034354520659932,-0.15601464650912977,-0.004338704635448371,-0.003174564062362772,0.06791182707231463,0.027910367573196093,23468.804683815088,0.1561582252464836,0.6253492923810354,1.0,1.0,6.0,3.0,0.23801936208882674,1.0,34.260809994818395,0.1496015602350164,0.8402327595615275,1.0,1.0,4.0,2.0,6.0,3.0,0.6145148321281986,1.0
4.0,0.75,0.3957593957378476,-0.16034354520659932,-0.15601464650912977,-0.004338704635448371,-0.003174564062362772,0.06791182707231463,0.027910367573196093,64081.2745752867,0.16979238632395388,0.6799484847613744,1.0,1.0,6.0,3.0,0.25880081191097665,1.0,38.788875184439505,0.1511571121770888,0.84896947125675,1.0,1.0,4.0,2.0,6.0,3.0,0.6209045364805307,1.0
4.0,0.8,0.3957593957378476,-0.16034354520659932,-0.15601464650912977,-0.004338704635448371,-0.003174564062362772,0.06791182707231463,0.027910367573196093,150230.2639903801,0.18228617675530226,0.7299809629934271,1.0,1.0,6.0,3.0,0.2778440869216088,1.0,48.47333800115617,0.15399084354852882,0.8648850400940047,1.0,1.0,4.0,2.0,6.0,3.0,0.6325445885981773,1.0
