seed,alpha,VE,mv_energy_volume,mv_vfe_volume,mv_vfe_cov,mm_energy_volume,mm_vfe_volume,mm_vfe_cov,cb_energy_volume,cb_vfe_volume,cb_vfe_cov,cw_energy_volume,cw_vfe_volume,cw_vfe_cov
11.0,0.6,-0.1587835739283765,0.00331995309782236,0.3023470724260397,0.0,0.0013285206863048594,0.1912599131337705,0.0,0.003984152665140577,0.3610506914036426,1.0,0.0016974228455774842,0.23582703681978906,0.0
11.0,0.65,-0.1587835739283765,0.0037445155186603477,0.321098007758897,1.0,0.0016506803712451072,0.21319218814987995,0.0,0.004149527980252688,0.364687070455075,1.0,0.0022377213838586435,0.27516056653304566,0.0
11.0,0.7,-0.1587835739283765,0.00427623325559625,0.34313932050304274,1.0,0.002021444695121832,0.23592324092464412,0.0,0.004593186381773759,0.37576838003835383,1.0,0.002772503022433813,0.30681849122213267,0.0
11.0,0.75,-0.1587835739283765,0.00481590203590864,0.36414857568561204,1.0,0.003116369848566857,0.2929302960512188,0.0,0.0050051356615047095,0.38398693216408253,1.0,0.0031061575966822913,0.311777255465598,0.0
11.0,0.8,-0.1587835739283765,0.005440096518311594,0.38702863309977836,1.0,0.0032554486108811345,0.29939546359901004,0.0,0.006348937685971742,0.44579597612139676,1.0,0.003984152665140577,0.3610506914036426,1.0
11.0,0.85,-0.1587835739283765,0.006765378565582218,0.4316043818281213,1.0,0.0036410767300951653,0.316631930751549,0.0,0.007361064045661268,0.45748292374342064,1.0,0.004593186381773759,0.37576838003835383,1.0
11.0,0.9,-0.1587835739283765,0.008228514176782005,0.47599293256896397,1.0,0.004802049300752898,0.3636244696610393,1.0,0.009074103626129617,0.46973257911978655,1.0,0.006348937685971742,0.44579597612139676,1.0
11.0,0.95,-0.1587835739283765,0.010792939927634998,0.5451420381080018,1.0,0.007065355543714618,0.44106927349764724,1.0,0.01232718337330843,0.52691369896157,1.0,0.009074103626129617,0.46973257911978655,1.0
10.0,0.4,-0.13523562376220077,0.001213447378771328,0.21085337422709424,0.0,0.00032254363049582835,0.10870870353506455,0.0,0.001586589299165727,0.2232952832256602,0.0,0.00043558793308460657,0.11934282120852674,0.0
10.0,0.45,-0.13523562376220077,0.0013564809046405103,0.22293431579167527,0.0,0.00046820107879953413,0.13097436042751948,0.0,0.0017537726499804462,0.24078418043177255,0.0,0.0005817439971134849,0.13972744958430663,0.0
